Training_Load,Sleep_Hours,Heart_Rate,Muscle_Soreness,Stress_Level,Recovery
34.6,7.7,137,3,2,Recovered
62,7.7,148,2,2,Recovered
71,8.6,140,3,1,Recovered
64.2,6.5,158,2,2,Recovered
72.5,6.1,159,3,4,Recovered
24.5,7.9,138,3,1,Recovered
54.3,5.9,150,2,4,Recovered
76.7,8.3,149,3,2,Recovered
37.9,8.1,164,3,3,Recovered
44.1,6.5,154,2,2,Recovered
80.7,7.8,155,3,2,Recovered
17.5,7.6,127,2,3,Recovered
80.3,5.1,150,3,3,Recovered
27.4,8.2,129,3,3,Recovered
77.3,6.6,139,3,3,Recovered
39.7,7.9,167,3,2,Recovered
64.7,6,156,4,2,Recovered
53.8,8.2,122,4,2,Recovered
33.7,6.2,167,3,4,Recovered
50.5,4.5,157,3,4,Recovered
17,8.4,133,1,2,Recovered
79.8,5.1,149,2,3,Recovered
31.2,6.1,146,2,2,Recovered
63.3,8.5,144,2,2,Recovered
64.4,8.6,132,2,1,Recovered
77.9,7,153,3,2,Recovered
47.7,7.2,156,3,2,Recovered
75.7,6.6,164,3,2,Recovered
60,5.8,124,4,3,Recovered
82.2,6,155,3,3,Recovered
51.5,7.5,125,2,2,Recovered
62.2,7.8,154,2,2,Recovered
57.8,7.8,122,2,2,Recovered
79.1,7.8,165,3,2,Recovered
52.4,5.2,155,2,4,Recovered
56.8,6.5,127,3,4,Recovered
66.5,5,162,1,2,Recovered
47.4,6.9,148,2,3,Recovered
58.7,6.5,147,3,2,Recovered
59.8,8.3,166,2,2,Recovered
59.5,5.9,169,4,4,Overtrained
63.5,5.2,125,2,3,Recovered
68,5.4,169,1,2,Recovered
74,7.5,131,5,3,Recovered
27.7,7.2,151,3,1,Recovered
38.3,5.1,128,3,3,Recovered
66.5,4.9,136,4,4,Overtrained
64.6,7.4,130,3,2,Recovered
30.3,5,148,4,3,Recovered
45.8,8,120,3,2,Recovered
71.4,7.4,138,3,3,Recovered
65.7,5,160,3,3,Recovered
81,5,123,2,3,Recovered
100,8.7,122,2,1,Recovered
54,6.1,150,3,3,Recovered
73.1,6.3,127,2,3,Recovered
61.6,8,163,3,2,Recovered
28.4,8.5,130,2,2,Recovered
29.6,8.5,130,3,1,Recovered
93.9,7.7,133,2,2,Recovered
54.1,6.1,135,4,3,Recovered
22.8,4.8,120,4,3,Recovered
57.7,7.7,154,4,2,Recovered
67.2,6.7,169,3,3,Recovered
39.6,6.5,169,3,3,Recovered
49.6,8.4,155,2,1,Recovered
39.2,5,138,3,4,Recovered
65.2,6.6,140,4,3,Recovered
60.2,4.7,150,3,4,Recovered
65,6.4,123,4,3,Recovered
17,4.9,169,3,3,Recovered
73.2,5.3,148,2,3,Recovered
95.8,5.1,141,4,4,Overtrained
32.4,7.2,165,3,1,Recovered
51.8,7.7,138,3,2,Recovered
88.7,7,124,3,3,Recovered
47.2,8.5,125,2,1,Recovered
42.9,6.3,126,2,2,Recovered
48.2,5.7,128,4,3,Recovered
60.7,8.2,167,2,2,Recovered
92,5.6,150,3,4,Recovered
66.1,8.4,120,2,2,Recovered
45.5,4.7,120,3,4,Recovered
48,8.7,168,3,2,Recovered
25.7,4.9,169,2,3,Recovered
66.6,8.2,133,4,2,Recovered
74.8,6.9,120,2,3,Recovered
66.4,8.6,150,3,2,Recovered
26.8,5.1,120,2,2,Recovered
57.8,7,140,3,2,Recovered
91.6,8.5,158,4,2,Recovered
86.3,6.8,152,3,2,Recovered
48.1,7.1,164,3,3,Recovered
83.4,7.4,161,2,2,Recovered
49.3,6.5,153,2,3,Recovered
48.6,7,149,4,3,Recovered
51.2,7,145,4,2,Recovered
58.9,8.3,132,4,2,Recovered
87.9,4.9,144,3,3,Recovered
45.8,5.7,128,3,4,Recovered
47.1,8.5,131,3,2,Recovered
70,8.3,158,3,1,Recovered
73,6.5,143,2,4,Recovered
67.6,7,167,4,3,Recovered
42.1,5.8,167,2,4,Recovered
53,5.4,136,4,3,Recovered
62.3,6.5,130,4,3,Recovered
72.7,6.1,120,3,3,Recovered
53.2,7,162,3,3,Recovered
62.4,4.9,128,3,4,Recovered
57.8,8.6,162,3,2,Recovered
33.4,8.4,153,3,2,Recovered
60.8,7.3,156,4,2,Recovered
34.4,6.7,122,4,3,Recovered
46.6,5.8,147,4,4,Overtrained
38.4,7.9,126,3,2,Recovered
40.9,7.5,169,2,2,Recovered
42,5.4,160,3,4,Recovered
34.8,8.3,133,4,1,Recovered
57.8,8,146,3,1,Recovered
68.4,8.4,138,3,2,Recovered
32.5,7.6,156,2,2,Recovered
73.2,7.3,168,1,2,Recovered
69.7,6.3,135,3,4,Recovered
62,8.5,147,2,2,Recovered
35,8.2,134,2,2,Recovered
38.8,5,125,3,2,Recovered
43.7,4.8,126,4,3,Recovered
87.7,6.3,142,2,3,Recovered
70.9,7.8,161,3,1,Recovered
39.7,8.6,156,2,2,Recovered
63.5,5.2,153,3,3,Recovered
26.6,6.9,169,4,5,Overtrained
42.5,6.3,161,2,4,Recovered
69,8.7,135,2,1,Recovered
59.7,8,140,3,2,Recovered
43.9,8.1,150,2,2,Recovered
90.8,6.4,150,4,4,Overtrained
62.1,6.4,169,2,2,Recovered
57.6,5.9,149,2,2,Recovered
48.2,4.7,169,5,4,Overtrained
48.5,8.3,131,1,2,Recovered
89.5,7.9,146,2,2,Recovered
73,8.6,135,3,2,Recovered
67.9,8.8,126,3,1,Recovered
24.9,6.7,162,5,2,Recovered
54.1,7.8,135,2,2,Recovered
27.3,8.3,145,4,2,Recovered
73.5,8.1,133,2,1,Recovered
26.1,5.7,134,3,3,Recovered
44,6.4,148,4,3,Recovered
24.2,5.3,122,2,3,Recovered
38.4,8.5,134,3,1,Recovered
67.1,7,124,3,3,Recovered
62.3,5.6,164,3,3,Recovered
44.1,7.4,169,3,1,Recovered
39.5,7.2,137,2,2,Recovered
92.9,5.9,155,3,4,Recovered
82.6,5.1,137,4,4,Overtrained
39.2,7.4,150,3,2,Recovered
68.1,6.8,135,3,2,Recovered
51.5,7.7,142,2,2,Recovered
76.4,6.8,162,3,1,Recovered
62.5,8.1,164,2,2,Recovered
57.8,6.8,157,3,3,Recovered
81.9,6.7,127,4,2,Recovered
98.2,8.3,140,2,1,Recovered
60.7,6.2,168,4,3,Recovered
77.9,5.2,169,2,4,Recovered
65.2,4.8,131,3,3,Recovered
68.6,7.6,152,3,2,Recovered
100,7.3,158,3,1,Recovered
60.2,7.6,169,1,2,Recovered
80.5,5.7,148,4,4,Overtrained
41.6,5.1,121,4,4,Overtrained
57.2,4.9,169,2,3,Recovered
38.3,6,157,3,3,Recovered
64,7.1,135,3,2,Recovered
58.7,6.3,168,3,2,Recovered
52.3,6.5,158,2,3,Recovered
100,8.3,141,3,2,Recovered
40.1,5.9,144,3,3,Recovered
52.7,6.8,130,2,2,Recovered
75.9,7.7,167,3,3,Recovered
45.6,6.3,156,2,3,Recovered
61.9,7.1,122,3,2,Recovered
40.8,7.9,143,4,3,Recovered
60.2,8.5,152,2,1,Recovered
38.3,5.2,164,3,3,Recovered
100,8.5,128,2,1,Recovered
42.5,6.7,136,3,2,Recovered
39.1,5.6,142,3,4,Recovered
70.4,6.5,155,4,2,Recovered
62.6,8.6,150,4,1,Recovered
87.7,6.7,135,2,1,Recovered
72.1,6,137,3,3,Recovered
58.6,7.2,139,2,2,Recovered
62.1,5.6,152,3,3,Recovered
66.1,5.1,169,2,3,Recovered
48.2,5.1,136,4,3,Recovered
52.7,5,157,3,4,Recovered
58.7,5.3,146,2,3,Recovered
43.5,5.3,143,3,3,Recovered
72.8,7.4,157,2,1,Recovered
55.7,5.4,138,3,3,Recovered
40.1,6,120,3,4,Recovered
41,8.2,120,4,2,Recovered
59.9,6.5,153,3,3,Recovered
41.6,7.4,154,4,2,Recovered
40.2,5.3,151,4,3,Recovered
68.4,5.5,166,3,3,Recovered
64.4,4.8,166,4,4,Overtrained
43,5.2,146,3,4,Recovered
59.6,5.8,152,2,3,Recovered
76.3,5.5,142,2,2,Recovered
70.7,5.2,138,2,2,Recovered
65.9,5.2,126,2,3,Recovered
100,6.5,129,2,2,Recovered
49.2,5.5,124,3,2,Recovered
73.1,6.3,162,2,3,Recovered
52.1,6.7,120,2,2,Recovered
61.2,7.6,120,3,2,Recovered
100,5,139,3,3,Recovered
45.8,7.9,165,3,1,Recovered
65.5,7.2,163,4,3,Recovered
37.5,5,130,3,4,Recovered
39.8,8.2,141,1,1,Recovered
40.5,8.3,142,3,2,Recovered
63.4,4.7,169,4,4,Overtrained
80.6,5.9,168,2,3,Recovered
29.9,7.9,124,3,1,Recovered
65.9,7.7,131,2,1,Recovered
79,5.3,169,3,3,Recovered
23.5,5.4,159,2,3,Recovered
70.8,6,169,3,3,Recovered
34.4,6.6,120,2,2,Recovered
100,7.1,169,4,2,Recovered
36,6.2,167,3,3,Recovered
58.8,6.7,137,3,2,Recovered
58.5,7.5,124,2,3,Recovered
63.4,4.8,133,2,3,Recovered
50.1,5.7,123,3,4,Recovered
43.5,7.5,120,4,2,Recovered
77.1,8.3,162,4,2,Recovered
47.3,6.8,135,3,3,Recovered
82.4,6.7,137,3,3,Recovered
66.6,5,154,3,4,Recovered
47.9,6.4,158,3,3,Recovered
58.9,6.6,144,4,4,Overtrained
65.7,5.7,122,3,2,Recovered
76.3,5.7,123,3,3,Recovered
100,6.1,141,4,3,Recovered
34.4,4.9,128,2,4,Recovered
100,5.9,151,3,3,Recovered
51.3,5.4,122,3,3,Recovered
77.1,6.1,169,1,2,Recovered
90.2,5,136,3,4,Recovered
37.9,8.2,154,3,2,Recovered
53.4,7,127,3,3,Recovered
55.2,7.3,168,3,2,Recovered
62.5,7.8,169,3,3,Recovered
54,6.5,123,4,4,Overtrained
100,4.8,137,4,5,Overtrained
56,6.8,169,3,2,Recovered
68.9,6.9,129,3,3,Recovered
80,7.7,156,3,1,Recovered
31.8,6.4,164,3,2,Recovered
96.7,5.3,126,2,3,Recovered
64.8,5.6,163,3,4,Recovered
36.4,6.2,149,3,2,Recovered
83,7.3,159,2,2,Recovered
71,6.9,132,3,3,Recovered
46.9,6.1,168,3,2,Recovered
49.7,8.6,136,4,2,Recovered
45.8,7.2,159,3,2,Recovered
71.6,5.5,153,3,3,Recovered
68,5,146,4,3,Recovered
18.8,5.4,127,2,2,Recovered
44.4,5.7,151,2,3,Recovered
32,5.2,165,3,3,Recovered
43.2,5.3,156,3,3,Recovered
61.6,5.7,130,2,3,Recovered
77.5,5.5,138,1,3,Recovered
58.8,8.1,155,3,3,Recovered
27.8,5,168,4,3,Recovered
55.5,6.9,126,3,3,Recovered
56.8,6.3,168,3,2,Recovered
71.1,8.6,147,3,2,Recovered
51.5,4.9,168,4,3,Recovered
56,6.1,167,4,3,Recovered
58.3,8.7,144,2,1,Recovered
72.4,8.3,144,2,2,Recovered
57.8,7.9,169,3,3,Recovered
91.3,5.5,120,4,4,Overtrained
38.3,5.3,169,3,3,Recovered
83.3,7.5,155,2,2,Recovered
70.1,8.4,148,2,2,Recovered
58.9,6.8,143,4,3,Recovered
66.2,7,153,2,1,Recovered
47.3,5.8,145,2,3,Recovered
97.6,7.7,169,2,2,Recovered
45.1,5.4,142,2,3,Recovered
68.5,5.8,163,3,2,Recovered
28.3,6.2,155,3,3,Recovered
52,6.7,152,2,3,Recovered
34,5.8,143,3,3,Recovered
24.5,5.2,154,3,4,Recovered
69.9,7.1,151,3,3,Recovered
73.4,6,120,3,2,Recovered
50.4,7,169,2,1,Recovered
34.4,5.2,169,3,3,Recovered
75.7,6.6,155,3,3,Recovered
71.6,6.8,134,4,3,Recovered
40.3,4.8,137,2,4,Recovered
51.2,6,155,2,3,Recovered
72,5.2,169,3,3,Recovered
48.1,4.9,132,3,3,Recovered
43.5,8.6,153,2,2,Recovered
61.9,5.9,164,3,4,Recovered
48.5,7.9,152,4,1,Recovered
42.5,5.7,132,3,4,Recovered
38.4,7.4,135,4,2,Recovered
40.7,7.8,138,2,2,Recovered
63.5,7.1,148,4,2,Recovered
47.7,6.5,167,3,3,Recovered
59.2,6.2,130,4,3,Recovered
83.1,5.9,137,3,3,Recovered
77.6,8.3,169,3,2,Recovered
66.3,8,150,3,2,Recovered
51.8,8.6,135,2,1,Recovered
70.7,5.1,140,3,3,Recovered
73.2,7.5,168,3,2,Recovered
46,8.4,169,3,2,Recovered
66,5.4,125,2,3,Recovered
95,5,160,1,4,Recovered
47,7.8,141,2,2,Recovered
44.7,7.1,155,3,3,Recovered
73.1,8.2,137,3,2,Recovered
37.6,5.2,136,4,3,Recovered
50,7.8,166,3,1,Recovered
47.4,5.4,144,3,3,Recovered
37.5,5.5,169,2,3,Recovered
37.8,5.5,132,1,3,Recovered
46.5,7.9,138,3,2,Recovered
54.6,7.3,164,3,2,Recovered
43.7,6.7,140,3,3,Recovered
50.8,6,155,3,3,Recovered
74.4,8,137,4,3,Recovered
66.1,6.4,147,3,3,Recovered
44.3,8,141,3,2,Recovered
53.5,6.6,131,2,2,Recovered
64.5,6,137,3,4,Recovered
89.2,6.7,142,2,3,Recovered
63.8,6,144,3,2,Recovered
76.2,7.8,146,2,1,Recovered
75.9,6.6,145,3,2,Recovered
35.1,5.5,121,4,4,Overtrained
78.9,8.1,151,4,3,Recovered
77.9,6.1,136,3,3,Recovered
37.6,6.7,162,4,2,Recovered
43.4,8.2,125,3,2,Recovered
54.5,7.3,129,4,2,Recovered
